,Unnamed: 0.1,tollgate_id,direction,precipitation,pressure,rel_humidity,sea_pressure,temperature,wind_direction,wind_speed,volume,weekday,start_date_year,start_date_month,start_date_day,end_date_year,end_date_month,end_date_day,end_time_hour,end_time_min,start_time_hour,start_time_min
31,31,3,0,0.0,1013.9,90,1018.9,19.3,322,2.5,26,0,2016.0,10.0,17.0,2016.0,10.0,17.0,22.0,0.0,21.0,40.0
32,32,3,1,0.0,1013.9,90,1018.9,19.3,322,2.5,22,0,2016.0,10.0,17.0,2016.0,10.0,17.0,22.0,0.0,21.0,40.0
33,33,1,0,0.0,1013.9,90,1018.9,19.3,322,2.5,18,0,2016.0,10.0,17.0,2016.0,10.0,17.0,22.0,0.0,21.0,40.0
34,34,1,1,0.0,1013.9,90,1018.9,19.3,322,2.5,31,0,2016.0,10.0,17.0,2016.0,10.0,17.0,22.0,0.0,21.0,40.0
35,35,2,0,0.0,1013.9,90,1018.9,19.3,322,2.5,20,0,2016.0,10.0,17.0,2016.0,10.0,17.0,21.0,40.0,21.0,20.0
36,36,3,0,0.0,1013.9,90,1018.9,19.3,322,2.5,31,0,2016.0,10.0,17.0,2016.0,10.0,17.0,21.0,40.0,21.0,20.0
37,37,3,1,0.0,1013.9,90,1018.9,19.3,322,2.5,25,0,2016.0,10.0,17.0,2016.0,10.0,17.0,21.0,40.0,21.0,20.0
38,38,1,0,0.0,1013.9,90,1018.9,19.3,322,2.5,11,0,2016.0,10.0,17.0,2016.0,10.0,17.0,21.0,40.0,21.0,20.0
39,39,1,1,0.0,1013.9,90,1018.9,19.3,322,2.5,24,0,2016.0,10.0,17.0,2016.0,10.0,17.0,21.0,40.0,21.0,20.0
40,40,2,0,0.0,1013.9,90,1018.9,19.3,322,2.5,28,0,2016.0,10.0,17.0,2016.0,10.0,17.0,21.0,20.0,21.0,0.0
41,41,3,0,0.0,1013.9,90,1018.9,19.3,322,2.5,37,0,2016.0,10.0,17.0,2016.0,10.0,17.0,21.0,20.0,21.0,0.0
42,42,3,1,0.0,1013.9,90,1018.9,19.3,322,2.5,23,0,2016.0,10.0,17.0,2016.0,10.0,17.0,21.0,20.0,21.0,0.0
43,43,1,0,0.0,1013.9,90,1018.9,19.3,322,2.5,17,0,2016.0,10.0,17.0,2016.0,10.0,17.0,21.0,20.0,21.0,0.0
44,44,1,1,0.0,1013.9,90,1018.9,19.3,322,2.5,24,0,2016.0,10.0,17.0,2016.0,10.0,17.0,21.0,20.0,21.0,0.0
45,45,2,0,0.0,1014.0,92,1019.0,19.1,341,1.5,26,0,2016.0,10.0,17.0,2016.0,10.0,17.0,21.0,0.0,20.0,40.0
46,46,3,0,0.0,1014.0,92,1019.0,19.1,341,1.5,39,0,2016.0,10.0,17.0,2016.0,10.0,17.0,21.0,0.0,20.0,40.0
47,47,3,1,0.0,1014.0,92,1019.0,19.1,341,1.5,43,0,2016.0,10.0,17.0,2016.0,10.0,17.0,21.0,0.0,20.0,40.0
48,48,1,0,0.0,1014.0,92,1019.0,19.1,341,1.5,19,0,2016.0,10.0,17.0,2016.0,10.0,17.0,21.0,0.0,20.0,40.0
49,49,1,1,0.0,1014.0,92,1019.0,19.1,341,1.5,33,0,2016.0,10.0,17.0,2016.0,10.0,17.0,21.0,0.0,20.0,40.0
50,50,2,0,0.0,1014.0,92,1019.0,19.1,341,1.5,33,0,2016.0,10.0,17.0,2016.0,10.0,17.0,20.0,40.0,20.0,20.0
51,51,3,0,0.0,1014.0,92,1019.0,19.1,341,1.5,45,0,2016.0,10.0,17.0,2016.0,10.0,17.0,20.0,40.0,20.0,20.0
52,52,3,1,0.0,1014.0,92,1019.0,19.1,341,1.5,25,0,2016.0,10.0,17.0,2016.0,10.0,17.0,20.0,40.0,20.0,20.0
53,53,1,0,0.0,1014.0,92,1019.0,19.1,341,1.5,17,0,2016.0,10.0,17.0,2016.0,10.0,17.0,20.0,40.0,20.0,20.0
54,54,1,1,0.0,1014.0,92,1019.0,19.1,341,1.5,33,0,2016.0,10.0,17.0,2016.0,10.0,17.0,20.0,40.0,20.0,20.0
55,55,2,0,0.0,1014.0,92,1019.0,19.1,341,1.5,29,0,2016.0,10.0,17.0,2016.0,10.0,17.0,20.0,20.0,20.0,0.0
56,56,3,0,0.0,1014.0,92,1019.0,19.1,341,1.5,46,0,2016.0,10.0,17.0,2016.0,10.0,17.0,20.0,20.0,20.0,0.0
57,57,3,1,0.0,1014.0,92,1019.0,19.1,341,1.5,51,0,2016.0,10.0,17.0,2016.0,10.0,17.0,20.0,20.0,20.0,0.0
58,58,1,0,0.0,1014.0,92,1019.0,19.1,341,1.5,11,0,2016.0,10.0,17.0,2016.0,10.0,17.0,20.0,20.0,20.0,0.0
59,59,1,1,0.0,1014.0,92,1019.0,19.1,341,1.5,33,0,2016.0,10.0,17.0,2016.0,10.0,17.0,20.0,20.0,20.0,0.0
60,60,2,0,0.0,1014.0,92,1019.0,19.1,341,1.5,26,0,2016.0,10.0,17.0,2016.0,10.0,17.0,20.0,0.0,19.0,40.0
61,61,3,0,0.0,1014.0,92,1019.0,19.1,341,1.5,53,0,2016.0,10.0,17.0,2016.0,10.0,17.0,20.0,0.0,19.0,40.0
62,62,3,1,0.0,1014.0,92,1019.0,19.1,341,1.5,54,0,2016.0,10.0,17.0,2016.0,10.0,17.0,20.0,0.0,19.0,40.0
63,63,1,0,0.0,1014.0,92,1019.0,19.1,341,1.5,16,0,2016.0,10.0,17.0,2016.0,10.0,17.0,20.0,0.0,19.0,40.0
64,64,1,1,0.0,1014.0,92,1019.0,19.1,341,1.5,33,0,2016.0,10.0,17.0,2016.0,10.0,17.0,20.0,0.0,19.0,40.0
65,65,2,0,0.0,1014.0,92,1019.0,19.1,341,1.5,48,0,2016.0,10.0,17.0,2016.0,10.0,17.0,19.0,40.0,19.0,20.0
66,66,3,0,0.0,1014.0,92,1019.0,19.1,341,1.5,46,0,2016.0,10.0,17.0,2016.0,10.0,17.0,19.0,40.0,19.0,20.0
67,67,3,1,0.0,1014.0,92,1019.0,19.1,341,1.5,47,0,2016.0,10.0,17.0,2016.0,10.0,17.0,19.0,40.0,19.0,20.0
68,68,1,0,0.0,1014.0,92,1019.0,19.1,341,1.5,15,0,2016.0,10.0,17.0,2016.0,10.0,17.0,19.0,40.0,19.0,20.0
69,69,1,1,0.0,1014.0,92,1019.0,19.1,341,1.5,46,0,2016.0,10.0,17.0,2016.0,10.0,17.0,19.0,40.0,19.0,20.0
70,70,2,0,0.0,1014.0,92,1019.0,19.1,341,1.5,38,0,2016.0,10.0,17.0,2016.0,10.0,17.0,19.0,20.0,19.0,0.0
71,71,3,0,0.0,1014.0,92,1019.0,19.1,341,1.5,51,0,2016.0,10.0,17.0,2016.0,10.0,17.0,19.0,20.0,19.0,0.0
72,72,3,1,0.0,1014.0,92,1019.0,19.1,341,1.5,54,0,2016.0,10.0,17.0,2016.0,10.0,17.0,19.0,20.0,19.0,0.0
73,73,1,0,0.0,1014.0,92,1019.0,19.1,341,1.5,26,0,2016.0,10.0,17.0,2016.0,10.0,17.0,19.0,20.0,19.0,0.0
74,74,1,1,0.0,1014.0,92,1019.0,19.1,341,1.5,39,0,2016.0,10.0,17.0,2016.0,10.0,17.0,19.0,20.0,19.0,0.0
75,75,2,0,0.0,1014.0,92,1019.0,19.1,341,1.5,53,0,2016.0,10.0,17.0,2016.0,10.0,17.0,19.0,0.0,18.0,40.0
76,76,3,0,0.0,1014.0,92,1019.0,19.1,341,1.5,65,0,2016.0,10.0,17.0,2016.0,10.0,17.0,19.0,0.0,18.0,40.0
77,77,3,1,0.0,1014.0,92,1019.0,19.1,341,1.5,80,0,2016.0,10.0,17.0,2016.0,10.0,17.0,19.0,0.0,18.0,40.0
78,78,1,0,0.0,1014.0,92,1019.0,19.1,341,1.5,14,0,2016.0,10.0,17.0,2016.0,10.0,17.0,19.0,0.0,18.0,40.0
79,79,1,1,0.0,1014.0,92,1019.0,19.1,341,1.5,49,0,2016.0,10.0,17.0,2016.0,10.0,17.0,19.0,0.0,18.0,40.0
80,80,2,0,0.0,1014.0,92,1019.0,19.1,341,1.5,53,0,2016.0,10.0,17.0,2016.0,10.0,17.0,18.0,40.0,18.0,20.0
81,81,3,0,0.0,1014.0,92,1019.0,19.1,341,1.5,93,0,2016.0,10.0,17.0,2016.0,10.0,17.0,18.0,40.0,18.0,20.0
82,82,3,1,0.0,1014.0,92,1019.0,19.1,341,1.5,86,0,2016.0,10.0,17.0,2016.0,10.0,17.0,18.0,40.0,18.0,20.0
83,83,1,0,0.0,1014.0,92,1019.0,19.1,341,1.5,24,0,2016.0,10.0,17.0,2016.0,10.0,17.0,18.0,40.0,18.0,20.0
84,84,1,1,0.0,1014.0,92,1019.0,19.1,341,1.5,84,0,2016.0,10.0,17.0,2016.0,10.0,17.0,18.0,40.0,18.0,20.0
85,85,2,0,0.0,1014.0,92,1019.0,19.1,341,1.5,56,0,2016.0,10.0,17.0,2016.0,10.0,17.0,18.0,20.0,18.0,0.0
86,86,3,0,0.0,1014.0,92,1019.0,19.1,341,1.5,90,0,2016.0,10.0,17.0,2016.0,10.0,17.0,18.0,20.0,18.0,0.0
87,87,3,1,0.0,1014.0,92,1019.0,19.1,341,1.5,79,0,2016.0,10.0,17.0,2016.0,10.0,17.0,18.0,20.0,18.0,0.0
88,88,1,0,0.0,1014.0,92,1019.0,19.1,341,1.5,22,0,2016.0,10.0,17.0,2016.0,10.0,17.0,18.0,20.0,18.0,0.0
89,89,1,1,0.0,1014.0,92,1019.0,19.1,341,1.5,52,0,2016.0,10.0,17.0,2016.0,10.0,17.0,18.0,20.0,18.0,0.0
90,90,2,0,0.0,1014.7,92,1019.8,18.9,222,0.9,58,0,2016.0,10.0,17.0,2016.0,10.0,17.0,18.0,0.0,17.0,40.0
91,91,3,0,0.0,1014.7,92,1019.8,18.9,222,0.9,113,0,2016.0,10.0,17.0,2016.0,10.0,17.0,18.0,0.0,17.0,40.0
92,92,3,1,0.0,1014.7,92,1019.8,18.9,222,0.9,84,0,2016.0,10.0,17.0,2016.0,10.0,17.0,18.0,0.0,17.0,40.0
93,93,1,0,0.0,1014.7,92,1019.8,18.9,222,0.9,25,0,2016.0,10.0,17.0,2016.0,10.0,17.0,18.0,0.0,17.0,40.0
94,94,1,1,0.0,1014.7,92,1019.8,18.9,222,0.9,130,0,2016.0,10.0,17.0,2016.0,10.0,17.0,18.0,0.0,17.0,40.0
95,95,2,0,0.0,1014.7,92,1019.8,18.9,222,0.9,83,0,2016.0,10.0,17.0,2016.0,10.0,17.0,17.0,40.0,17.0,20.0
96,96,3,0,0.0,1014.7,92,1019.8,18.9,222,0.9,132,0,2016.0,10.0,17.0,2016.0,10.0,17.0,17.0,40.0,17.0,20.0
97,97,3,1,0.0,1014.7,92,1019.8,18.9,222,0.9,82,0,2016.0,10.0,17.0,2016.0,10.0,17.0,17.0,40.0,17.0,20.0
98,98,1,0,0.0,1014.7,92,1019.8,18.9,222,0.9,34,0,2016.0,10.0,17.0,2016.0,10.0,17.0,17.0,40.0,17.0,20.0
99,99,1,1,0.0,1014.7,92,1019.8,18.9,222,0.9,126,0,2016.0,10.0,17.0,2016.0,10.0,17.0,17.0,40.0,17.0,20.0
100,100,2,0,0.0,1014.7,92,1019.8,18.9,222,0.9,86,0,2016.0,10.0,17.0,2016.0,10.0,17.0,17.0,20.0,17.0,0.0
101,101,3,0,0.0,1014.7,92,1019.8,18.9,222,0.9,140,0,2016.0,10.0,17.0,2016.0,10.0,17.0,17.0,20.0,17.0,0.0
102,102,3,1,0.0,1014.7,92,1019.8,18.9,222,0.9,80,0,2016.0,10.0,17.0,2016.0,10.0,17.0,17.0,20.0,17.0,0.0
103,103,1,0,0.0,1014.7,92,1019.8,18.9,222,0.9,43,0,2016.0,10.0,17.0,2016.0,10.0,17.0,17.0,20.0,17.0,0.0
104,104,1,1,0.0,1014.7,92,1019.8,18.9,222,0.9,112,0,2016.0,10.0,17.0,2016.0,10.0,17.0,17.0,20.0,17.0,0.0
105,105,2,0,0.0,1014.7,92,1019.8,18.9,222,0.9,72,0,2016.0,10.0,17.0,2016.0,10.0,17.0,17.0,0.0,16.0,40.0
106,106,3,0,0.0,1014.7,92,1019.8,18.9,222,0.9,96,0,2016.0,10.0,17.0,2016.0,10.0,17.0,17.0,0.0,16.0,40.0
107,107,3,1,0.0,1014.7,92,1019.8,18.9,222,0.9,90,0,2016.0,10.0,17.0,2016.0,10.0,17.0,17.0,0.0,16.0,40.0
108,108,1,0,0.0,1014.7,92,1019.8,18.9,222,0.9,42,0,2016.0,10.0,17.0,2016.0,10.0,17.0,17.0,0.0,16.0,40.0
109,109,1,1,0.0,1014.7,92,1019.8,18.9,222,0.9,104,0,2016.0,10.0,17.0,2016.0,10.0,17.0,17.0,0.0,16.0,40.0
110,110,2,0,0.0,1014.7,92,1019.8,18.9,222,0.9,92,0,2016.0,10.0,17.0,2016.0,10.0,17.0,16.0,40.0,16.0,20.0
111,111,3,0,0.0,1014.7,92,1019.8,18.9,222,0.9,112,0,2016.0,10.0,17.0,2016.0,10.0,17.0,16.0,40.0,16.0,20.0
112,112,3,1,0.0,1014.7,92,1019.8,18.9,222,0.9,94,0,2016.0,10.0,17.0,2016.0,10.0,17.0,16.0,40.0,16.0,20.0
113,113,1,0,0.0,1014.7,92,1019.8,18.9,222,0.9,56,0,2016.0,10.0,17.0,2016.0,10.0,17.0,16.0,40.0,16.0,20.0
114,114,1,1,0.0,1014.7,92,1019.8,18.9,222,0.9,108,0,2016.0,10.0,17.0,2016.0,10.0,17.0,16.0,40.0,16.0,20.0
115,115,2,0,0.0,1014.7,92,1019.8,18.9,222,0.9,68,0,2016.0,10.0,17.0,2016.0,10.0,17.0,16.0,20.0,16.0,0.0
116,116,3,0,0.0,1014.7,92,1019.8,18.9,222,0.9,114,0,2016.0,10.0,17.0,2016.0,10.0,17.0,16.0,20.0,16.0,0.0
117,117,3,1,0.0,1014.7,92,1019.8,18.9,222,0.9,91,0,2016.0,10.0,17.0,2016.0,10.0,17.0,16.0,20.0,16.0,0.0
118,118,1,0,0.0,1014.7,92,1019.8,18.9,222,0.9,63,0,2016.0,10.0,17.0,2016.0,10.0,17.0,16.0,20.0,16.0,0.0
119,119,1,1,0.0,1014.7,92,1019.8,18.9,222,0.9,101,0,2016.0,10.0,17.0,2016.0,10.0,17.0,16.0,20.0,16.0,0.0
120,120,2,0,0.0,1014.7,92,1019.8,18.9,222,0.9,76,0,2016.0,10.0,17.0,2016.0,10.0,17.0,16.0,0.0,15.0,40.0
121,121,3,0,0.0,1014.7,92,1019.8,18.9,222,0.9,108,0,2016.0,10.0,17.0,2016.0,10.0,17.0,16.0,0.0,15.0,40.0
122,122,3,1,0.0,1014.7,92,1019.8,18.9,222,0.9,90,0,2016.0,10.0,17.0,2016.0,10.0,17.0,16.0,0.0,15.0,40.0
123,123,1,0,0.0,1014.7,92,1019.8,18.9,222,0.9,35,0,2016.0,10.0,17.0,2016.0,10.0,17.0,16.0,0.0,15.0,40.0
124,124,1,1,0.0,1014.7,92,1019.8,18.9,222,0.9,89,0,2016.0,10.0,17.0,2016.0,10.0,17.0,16.0,0.0,15.0,40.0
125,125,2,0,0.0,1014.7,92,1019.8,18.9,222,0.9,84,0,2016.0,10.0,17.0,2016.0,10.0,17.0,15.0,40.0,15.0,20.0
126,126,3,0,0.0,1014.7,92,1019.8,18.9,222,0.9,105,0,2016.0,10.0,17.0,2016.0,10.0,17.0,15.0,40.0,15.0,20.0
127,127,3,1,0.0,1014.7,92,1019.8,18.9,222,0.9,122,0,2016.0,10.0,17.0,2016.0,10.0,17.0,15.0,40.0,15.0,20.0
128,128,1,0,0.0,1014.7,92,1019.8,18.9,222,0.9,47,0,2016.0,10.0,17.0,2016.0,10.0,17.0,15.0,40.0,15.0,20.0
129,129,1,1,0.0,1014.7,92,1019.8,18.9,222,0.9,92,0,2016.0,10.0,17.0,2016.0,10.0,17.0,15.0,40.0,15.0,20.0
130,130,2,0,0.0,1014.7,92,1019.8,18.9,222,0.9,53,0,2016.0,10.0,17.0,2016.0,10.0,17.0,15.0,20.0,15.0,0.0
131,131,3,0,0.0,1014.7,92,1019.8,18.9,222,0.9,117,0,2016.0,10.0,17.0,2016.0,10.0,17.0,15.0,20.0,15.0,0.0
132,132,3,1,0.0,1014.7,92,1019.8,18.9,222,0.9,93,0,2016.0,10.0,17.0,2016.0,10.0,17.0,15.0,20.0,15.0,0.0
133,133,1,0,0.0,1014.7,92,1019.8,18.9,222,0.9,46,0,2016.0,10.0,17.0,2016.0,10.0,17.0,15.0,20.0,15.0,0.0
134,134,1,1,0.0,1014.7,92,1019.8,18.9,222,0.9,99,0,2016.0,10.0,17.0,2016.0,10.0,17.0,15.0,20.0,15.0,0.0
135,135,2,0,0.0,1014.3,87,1019.4,19.6,17,0.7,56,0,2016.0,10.0,17.0,2016.0,10.0,17.0,15.0,0.0,14.0,40.0
136,136,3,0,0.0,1014.3,87,1019.4,19.6,17,0.7,85,0,2016.0,10.0,17.0,2016.0,10.0,17.0,15.0,0.0,14.0,40.0
137,137,3,1,0.0,1014.3,87,1019.4,19.6,17,0.7,100,0,2016.0,10.0,17.0,2016.0,10.0,17.0,15.0,0.0,14.0,40.0
138,138,1,0,0.0,1014.3,87,1019.4,19.6,17,0.7,52,0,2016.0,10.0,17.0,2016.0,10.0,17.0,15.0,0.0,14.0,40.0
139,139,1,1,0.0,1014.3,87,1019.4,19.6,17,0.7,109,0,2016.0,10.0,17.0,2016.0,10.0,17.0,15.0,0.0,14.0,40.0
140,140,2,0,0.0,1014.3,87,1019.4,19.6,17,0.7,72,0,2016.0,10.0,17.0,2016.0,10.0,17.0,14.0,40.0,14.0,20.0
141,141,3,0,0.0,1014.3,87,1019.4,19.6,17,0.7,118,0,2016.0,10.0,17.0,2016.0,10.0,17.0,14.0,40.0,14.0,20.0
142,142,3,1,0.0,1014.3,87,1019.4,19.6,17,0.7,83,0,2016.0,10.0,17.0,2016.0,10.0,17.0,14.0,40.0,14.0,20.0
143,143,1,0,0.0,1014.3,87,1019.4,19.6,17,0.7,47,0,2016.0,10.0,17.0,2016.0,10.0,17.0,14.0,40.0,14.0,20.0
144,144,1,1,0.0,1014.3,87,1019.4,19.6,17,0.7,93,0,2016.0,10.0,17.0,2016.0,10.0,17.0,14.0,40.0,14.0,20.0
145,145,2,0,0.0,1014.3,87,1019.4,19.6,17,0.7,82,0,2016.0,10.0,17.0,2016.0,10.0,17.0,14.0,20.0,14.0,0.0
146,146,3,0,0.0,1014.3,87,1019.4,19.6,17,0.7,114,0,2016.0,10.0,17.0,2016.0,10.0,17.0,14.0,20.0,14.0,0.0
147,147,3,1,0.0,1014.3,87,1019.4,19.6,17,0.7,75,0,2016.0,10.0,17.0,2016.0,10.0,17.0,14.0,20.0,14.0,0.0
148,148,1,0,0.0,1014.3,87,1019.4,19.6,17,0.7,41,0,2016.0,10.0,17.0,2016.0,10.0,17.0,14.0,20.0,14.0,0.0
149,149,1,1,0.0,1014.3,87,1019.4,19.6,17,0.7,87,0,2016.0,10.0,17.0,2016.0,10.0,17.0,14.0,20.0,14.0,0.0
150,150,2,0,0.0,1014.3,87,1019.4,19.6,17,0.7,66,0,2016.0,10.0,17.0,2016.0,10.0,17.0,14.0,0.0,13.0,40.0
151,151,3,0,0.0,1014.3,87,1019.4,19.6,17,0.7,95,0,2016.0,10.0,17.0,2016.0,10.0,17.0,14.0,0.0,13.0,40.0
152,152,3,1,0.0,1014.3,87,1019.4,19.6,17,0.7,73,0,2016.0,10.0,17.0,2016.0,10.0,17.0,14.0,0.0,13.0,40.0
153,153,1,0,0.0,1014.3,87,1019.4,19.6,17,0.7,59,0,2016.0,10.0,17.0,2016.0,10.0,17.0,14.0,0.0,13.0,40.0
154,154,1,1,0.0,1014.3,87,1019.4,19.6,17,0.7,85,0,2016.0,10.0,17.0,2016.0,10.0,17.0,14.0,0.0,13.0,40.0
155,155,2,0,0.0,1014.3,87,1019.4,19.6,17,0.7,71,0,2016.0,10.0,17.0,2016.0,10.0,17.0,13.0,40.0,13.0,20.0
156,156,3,0,0.0,1014.3,87,1019.4,19.6,17,0.7,93,0,2016.0,10.0,17.0,2016.0,10.0,17.0,13.0,40.0,13.0,20.0
157,157,3,1,0.0,1014.3,87,1019.4,19.6,17,0.7,91,0,2016.0,10.0,17.0,2016.0,10.0,17.0,13.0,40.0,13.0,20.0
158,158,1,0,0.0,1014.3,87,1019.4,19.6,17,0.7,51,0,2016.0,10.0,17.0,2016.0,10.0,17.0,13.0,40.0,13.0,20.0
159,159,1,1,0.0,1014.3,87,1019.4,19.6,17,0.7,100,0,2016.0,10.0,17.0,2016.0,10.0,17.0,13.0,40.0,13.0,20.0
160,160,2,0,0.0,1014.3,87,1019.4,19.6,17,0.7,62,0,2016.0,10.0,17.0,2016.0,10.0,17.0,13.0,20.0,13.0,0.0
161,161,3,0,0.0,1014.3,87,1019.4,19.6,17,0.7,108,0,2016.0,10.0,17.0,2016.0,10.0,17.0,13.0,20.0,13.0,0.0
162,162,3,1,0.0,1014.3,87,1019.4,19.6,17,0.7,127,0,2016.0,10.0,17.0,2016.0,10.0,17.0,13.0,20.0,13.0,0.0
163,163,1,0,0.0,1014.3,87,1019.4,19.6,17,0.7,35,0,2016.0,10.0,17.0,2016.0,10.0,17.0,13.0,20.0,13.0,0.0
164,164,1,1,0.0,1014.3,87,1019.4,19.6,17,0.7,88,0,2016.0,10.0,17.0,2016.0,10.0,17.0,13.0,20.0,13.0,0.0
165,165,2,0,0.0,1014.3,87,1019.4,19.6,17,0.7,70,0,2016.0,10.0,17.0,2016.0,10.0,17.0,13.0,0.0,12.0,40.0
166,166,3,0,0.0,1014.3,87,1019.4,19.6,17,0.7,90,0,2016.0,10.0,17.0,2016.0,10.0,17.0,13.0,0.0,12.0,40.0
167,167,3,1,0.0,1014.3,87,1019.4,19.6,17,0.7,111,0,2016.0,10.0,17.0,2016.0,10.0,17.0,13.0,0.0,12.0,40.0
168,168,1,0,0.0,1014.3,87,1019.4,19.6,17,0.7,44,0,2016.0,10.0,17.0,2016.0,10.0,17.0,13.0,0.0,12.0,40.0
169,169,1,1,0.0,1014.3,87,1019.4,19.6,17,0.7,87,0,2016.0,10.0,17.0,2016.0,10.0,17.0,13.0,0.0,12.0,40.0
170,170,2,0,0.0,1014.3,87,1019.4,19.6,17,0.7,54,0,2016.0,10.0,17.0,2016.0,10.0,17.0,12.0,40.0,12.0,20.0
